timestamp,ina_current,ina_voltage,axtx0_temp,rpm,lg_avg_speed
116.204, 0.00, 0.00, 22.23, 0.00, 0.00
117.204, 0.00, 0.00, 22.23, 0.00, 0.00
118.207,-0.00, 0.00, 22.22, 0.00, 0.00
119.209,-0.00, 0.00, 22.21, 0.00, 0.00
120.213,-0.00, 0.00, 22.22, 0.00, 0.00
121.217,-0.00, 0.00, 22.23, 0.00, 0.00
122.219,-0.00, 0.00, 22.19, 0.00, 0.00
454.379, 0.00, 0.00, 22.23, 0.00, 0.00
455.385,-0.00, 0.00, 22.25, 0.00, 0.00
456.386, 0.00, 0.00, 22.22, 0.00, 0.00
457.391,-0.00, 0.00, 22.23, 0.00, 0.00
458.397, 0.00, 0.00, 22.22, 0.00, 0.00
459.403, 0.00, 0.00, 22.22, 0.00, 0.00
460.407,-0.00, 0.00, 22.24, 0.00, 0.00
756.510,-0.00, 0.00, 22.24, 0.00, 0.00
757.511,-0.00, 0.00, 22.24, 0.00, 0.00
758.511, 0.00, 0.00, 22.26, 0.00, 0.00
759.515,-0.00, 0.00, 22.26, 0.00, 0.00
760.514,-0.00, 0.00, 22.26, 0.00, 0.00
761.517, 0.00, 0.00, 22.26, 0.00, 0.00
762.520, 0.00, 0.00, 22.24, 0.00, 0.00
763.521,-0.00, 0.00, 22.26, 0.00, 0.00
764.524,-0.00, 0.00, 22.26, 0.00, 0.00
765.531,-0.00, 0.00, 22.26, 0.00, 0.13
766.536,-0.00, 0.00, 22.24, 0.00, 0.26
767.541,-0.00, 0.00, 22.24, 0.00, 0.79
768.547, 0.00, 0.00, 22.25, 0.00, 1.45
769.550,-0.00, 0.00, 22.25, 0.00, 2.38
770.556,-0.00, 0.00, 22.26, 0.00, 2.38
771.562,-0.00, 0.00, 22.25, 0.00, 2.24
772.571,-0.00, 0.00, 22.24, 0.00, 1.72
773.576,-0.00, 0.00, 22.26, 0.00, 1.06
774.583, 0.00, 0.00, 22.25, 0.00, 0.13
775.584,-0.00, 0.00, 22.24, 0.00, 0.00
776.590,-0.00, 0.00, 22.27, 0.00, 0.00
777.592,-0.00, 0.00, 22.24, 0.00, 0.00
778.589,-0.00, 0.00, 22.26, 0.00, 0.00
779.595,-0.00, 0.00, 22.24, 0.00, 0.00
780.596,-0.00, 0.00, 22.24, 0.00, 0.00
781.602,-0.00, 0.00, 22.23, 0.00, 0.00
782.608,-0.00, 0.00, 22.27,12.44, 0.00
783.616, 0.00, 0.00, 22.24,12.42, 0.00
784.620, 0.00, 0.00, 22.25,12.42, 0.00
785.631,-0.00, 0.00, 22.26, 7.45, 0.00
786.638,-0.00, 0.00, 22.25, 9.03, 0.00
787.648,-0.00, 0.00, 22.23, 9.84, 0.00
788.654,-0.00, 0.00, 22.25, 9.84, 0.00
789.659, 0.00, 0.00, 22.23, 9.84, 0.00
790.666,-0.00, 0.00, 22.23, 9.84, 0.00
791.671,-0.00, 0.00, 22.26, 9.84, 0.00
792.679,-0.00, 0.00, 22.25, 9.84, 0.00
793.685, 0.00, 0.00, 22.26, 9.84, 0.00
