timestamp,ina_current,ina_voltage,rpm,lg_avg_speed,wind_power
329.485,-0.00, 0.00, 5.84, 0.00,0.0
329.601,-0.00, 0.00, 5.84, 0.00,0.0
329.721,-0.00, 0.00, 5.84, 0.00,0.0
329.837,-0.00, 0.00, 5.84, 0.00,0.0
329.958, 0.00, 0.00, 5.84, 0.00,0.0
330.074,-0.00, 0.00, 5.84, 0.00,0.0
330.192,-0.00, 0.00, 5.84, 0.00,0.0
330.308,-0.00, 0.00, 5.84, 0.00,0.0
330.428,-0.00, 0.00, 5.84, 0.00,0.0
330.544,-0.00, 0.00, 5.84, 0.00,0.0
330.665,-0.00, 0.00, 5.84, 0.00,0.0
330.781,-0.00, 0.00, 5.84, 0.00,0.0
330.899,-0.00, 0.00, 5.84, 0.00,0.0
331.015,-0.00, 0.00, 5.84, 0.00,0.0
331.134,-0.00, 0.00, 5.84, 0.00,0.0
331.250,-0.00, 0.00, 5.84, 0.00,0.0
331.372,-0.00, 0.00, 5.84, 0.00,0.0
331.488,-0.00, 0.00, 5.84, 0.00,0.0
331.605,-0.00, 0.00, 5.84, 0.00,0.0
331.721,-0.00, 0.00, 5.84, 0.00,0.0
331.841, 0.00, 0.00, 5.84, 0.00,0.0
331.958,-0.00, 0.00, 5.84, 0.00,0.0
332.078,-0.00, 0.00, 5.84, 0.00,0.0
332.193, 0.00, 0.00, 5.84, 0.00,0.0
332.309,-0.00, 0.00, 5.84, 0.00,0.0
332.428,-0.00, 0.00, 5.84, 0.00,0.0
332.544,-0.00, 0.00, 5.84, 0.00,0.0
332.665,-0.00, 0.00, 5.84, 0.00,0.0
332.781,-0.00, 0.00, 5.84, 0.00,0.0
332.901,-0.00, 0.00, 5.84, 0.00,0.0
333.018,-0.00, 0.00, 5.84, 0.00,0.0
333.136,-0.00, 0.00, 5.84, 0.00,0.0
333.253,-0.00, 0.00, 5.84, 0.00,0.0
333.374, 0.00, 0.00, 5.84, 0.00,0.0
333.489,-0.00, 0.00, 5.84, 0.00,0.0
333.609, 0.00, 0.00, 5.84, 0.00,0.0
333.725,-0.00, 0.00, 5.84, 0.00,0.0
333.843,-0.00, 0.00, 5.84, 0.00,0.0
333.959,-0.00, 0.00, 5.84, 0.00,0.0
334.080,-0.00, 0.00, 5.84, 0.00,0.0
334.197,-0.00, 0.00, 5.84, 0.00,0.0
334.318,-0.00, 0.00, 5.84, 0.00,0.0
334.434,-0.00, 0.00, 5.84, 0.00,0.0
334.552,-0.00, 0.00, 5.84, 0.00,0.0
334.668, 0.00, 0.00, 5.84, 0.00,0.0
334.789,-0.00, 0.00, 5.84, 0.00,0.0
334.906,-0.00, 0.00, 5.84, 0.00,0.0
335.026,-0.00, 0.00, 5.84, 0.00,0.0
335.142,-0.00, 0.00, 5.84, 0.00,0.0
335.261,-0.00, 0.00, 5.84, 0.00,0.0
335.377, 0.00, 0.00, 5.84, 0.00,0.0
335.498, 0.00, 0.00, 5.84, 0.00,0.0
335.614,-0.00, 0.00, 5.84, 0.00,0.0
335.733,-0.00, 0.00, 5.84, 0.00,0.0
335.849,-0.00, 0.00, 5.84, 0.00,0.0
335.965,-0.00, 0.00, 5.84, 0.00,0.0
336.084,-0.00, 0.00, 5.84, 0.00,0.0
336.201,-0.00, 0.00, 5.84, 0.00,0.0
336.322,-0.00, 0.00, 5.84, 0.00,0.0
336.438,-0.00, 0.00, 5.84, 0.00,0.0
336.558,-0.00, 0.00, 5.84, 0.00,0.0
336.674,-0.00, 0.00, 5.84, 0.00,0.0
336.792,-0.00, 0.00, 5.84, 0.00,0.0
336.910,-0.00, 0.00, 5.84, 0.00,0.0
337.030,-0.00, 0.00, 5.84, 0.00,0.0
337.146,-0.00, 0.00, 5.84, 0.00,0.0
337.266,-0.00, 0.00, 5.84, 0.00,0.0
337.383,-0.00, 0.00, 5.84, 0.00,0.0
337.501,-0.00, 0.00, 5.84, 0.00,0.0
337.618,-0.00, 0.00, 5.84, 0.00,0.0
337.739,-0.00, 0.00, 5.84, 0.00,0.0
337.855,-0.00, 0.00, 5.84, 0.00,0.0
337.975,-0.00, 0.00, 5.84, 0.00,0.0
338.091,-0.00, 0.00, 5.84, 0.00,0.0
338.210,-0.00, 0.00, 5.84, 0.00,0.0
338.327,-0.00, 0.00, 5.84, 0.00,0.0
338.447, 0.00, 0.00, 5.84, 0.00,0.0
338.564,-0.00, 0.00, 5.84, 0.00,0.0
338.684, 0.00, 0.00, 5.84, 0.00,0.0
338.800,-0.00, 0.00, 5.84, 0.00,0.0
338.918, 0.00, 0.00, 5.84, 0.00,0.0
339.036,-0.00, 0.00, 5.84, 0.00,0.0
339.156,-0.00, 0.00, 5.84, 0.00,0.0
339.271, 0.00, 0.00, 5.84, 0.00,0.0
339.392,-0.00, 0.00, 5.84, 0.00,0.0
339.508,-0.00, 0.00, 5.84, 0.00,0.0
339.625,-0.00, 0.00, 5.84, 0.00,0.0
339.743, 0.00, 0.00, 5.84, 0.00,0.0
339.859, 0.00, 0.00, 5.84, 0.00,0.0
339.979,-0.00, 0.00, 5.84, 0.00,0.0
340.095, 0.00, 0.00, 5.84, 0.00,0.0
340.215,-0.00, 0.00, 5.84, 0.00,0.0
340.332, 0.00, 0.00, 5.84, 0.00,0.0
340.450,-0.00, 0.00, 5.84, 0.00,0.0
340.566,-0.00, 0.00, 5.84, 0.00,0.0
340.686,-0.00, 0.00, 5.84, 0.00,0.0
340.802,-0.00, 0.00, 5.84, 0.00,0.0
340.922, 0.00, 0.00, 5.84, 0.00,0.0
341.040,-0.00, 0.00, 5.84, 0.00,0.0
341.158,-0.00, 0.00, 5.84, 0.00,0.0
341.274,-0.00, 0.00, 5.84, 0.00,0.0
341.394,-0.00, 0.00, 5.84, 0.00,0.0
341.510,-0.00, 0.00, 5.84, 0.00,0.0
341.630,-0.00, 0.00, 5.84, 0.00,0.0
341.747,-0.00, 0.00, 5.84, 0.00,0.0
341.866,-0.00, 0.00, 5.84, 0.00,0.0
341.982,-0.00, 0.00, 5.84, 0.00,0.0
342.102,-0.00, 0.00, 5.84, 0.00,0.0
342.218,-0.00, 0.00, 5.84, 0.00,0.0
342.338, 0.00, 0.00, 5.84, 0.00,0.0
342.456,-0.00, 0.00, 5.84, 0.00,0.0
342.574,-0.00, 0.00, 5.84, 0.00,0.0
342.690,-0.00, 0.00, 5.84, 0.00,0.0
342.810, 0.00, 0.00, 5.84, 0.00,0.0
342.926,-0.00, 0.00, 5.84, 0.00,0.0
343.046,-0.00, 0.00, 5.84, 0.00,0.0
343.163,-0.00, 0.00, 5.84, 0.00,0.0
343.278, 0.00, 0.00, 5.84, 0.00,0.0
343.397, 0.00, 0.00, 5.84, 0.00,0.0
343.514,-0.00, 0.00, 5.84, 0.00,0.0
343.634,-0.00, 0.00, 5.84, 0.00,0.0
343.750,-0.00, 0.00, 5.84, 0.00,0.0
343.871, 0.00, 0.00, 5.84, 0.00,0.0
343.986,-0.00, 0.00, 5.84, 0.00,0.0
344.105,-0.00, 0.00, 5.84, 0.00,0.0
344.221,-0.00, 0.00, 5.84, 0.00,0.0
344.342,-0.00, 0.00, 5.84, 0.00,0.0
344.458,-0.00, 0.00, 5.84, 0.00,0.0
344.578,-0.00, 0.00, 5.84, 0.00,0.0
344.694,-0.00, 0.00, 5.84, 0.00,0.0
344.813,-0.00, 0.00, 5.84, 0.00,0.0
344.929, 0.00, 0.00, 5.84, 0.00,0.0
345.049,-0.00, 0.00, 5.84, 0.00,0.0
345.164, 0.00, 0.00, 5.84, 0.00,0.0
345.284,-0.00, 0.00, 5.84, 0.00,0.0
345.401,-0.00, 0.00, 5.84, 0.00,0.0
345.519,-0.00, 0.00, 5.84, 0.00,0.0
345.634,-0.00, 0.00, 5.84, 0.00,0.0
345.754, 0.00, 0.00, 5.84, 0.00,0.0
345.871,-0.00, 0.00, 5.84, 0.00,0.0
345.991, 0.00, 0.00, 5.84, 0.00,0.0
346.108,-0.00, 0.00, 5.84, 0.00,0.0
346.226,-0.00, 0.00, 5.84, 0.00,0.0
346.343,-0.00, 0.00, 5.84, 0.00,0.0
346.463,-0.00, 0.00, 5.84, 0.00,0.0
346.580, 0.00, 0.00, 5.84, 0.00,0.0
346.700,-0.00, 0.00, 5.84, 0.00,0.0
346.817, 0.00, 0.00, 5.84, 0.00,0.0
346.933,-0.00, 0.00, 5.84, 0.00,0.0
347.052,-0.00, 0.00, 5.84, 0.00,0.0
347.168,-0.00, 0.00, 5.84, 0.00,0.0
347.289, 0.00, 0.00, 5.84, 0.00,0.0
347.406,-0.00, 0.00, 5.84, 0.00,0.0
347.526,-0.00, 0.00, 5.84, 0.00,0.0
347.643,-0.00, 0.00, 5.84, 0.00,0.0
347.761,-0.00, 0.00, 5.84, 0.00,0.0
347.878,-0.00, 0.00, 5.84, 0.00,0.0
347.999,-0.00, 0.00, 5.84, 0.00,0.0
348.115,-0.00, 0.00, 5.84, 0.00,0.0
348.236,-0.00, 0.00, 5.84, 0.00,0.0
348.352,-0.00, 0.00, 5.84, 0.00,0.0
348.470,-0.00, 0.00, 5.84, 0.00,0.0
348.587,-0.00, 0.00, 5.84, 0.00,0.0
348.708,-0.00, 0.00, 5.84, 0.00,0.0
348.824,-0.00, 0.00, 5.84, 0.00,0.0
348.944,-0.00, 0.00, 5.84, 0.00,0.0
349.061,-0.00, 0.00, 5.84, 0.00,0.0
349.180,-0.00, 0.00, 5.84, 0.00,0.0
349.296,-0.00, 0.00, 5.84, 0.00,0.0
349.416,-0.00, 0.00, 5.84, 0.00,0.0
349.534,-0.00, 0.00, 5.84, 0.00,0.0
349.654, 0.00, 0.00, 5.84, 0.00,0.0
349.770,-0.00, 0.00, 5.84, 0.00,0.0
349.888,-0.00, 0.00, 5.84, 0.00,0.0
350.005, 0.00, 0.00, 5.84, 0.00,0.0
350.125, 0.00, 0.00, 5.84, 0.00,0.0
350.241,-0.00, 0.00, 5.84, 0.00,0.0
350.361,-0.00, 0.00, 5.84, 0.00,0.0
350.477, 0.00, 0.00, 5.84, 0.00,0.0
350.593,-0.00, 0.00, 5.84, 0.00,0.0
350.711, 0.00, 0.00, 5.84, 0.00,0.0
350.828,-0.00, 0.00, 5.84, 0.00,0.0
350.948, 0.00, 0.00, 5.84, 0.00,0.0
351.064,-0.00, 0.00, 5.84, 0.00,0.0
351.183, 0.00, 0.00, 5.84, 0.00,0.0
351.299, 0.00, 0.00, 5.84, 0.00,0.0
351.417, 0.00, 0.00, 5.84, 0.00,0.0
351.534,-0.00, 0.00, 5.84, 0.00,0.0
351.654,-0.00, 0.00, 5.84, 0.00,0.0
351.770,-0.00, 0.00, 5.84, 0.00,0.0
351.890,-0.00, 0.00, 5.84, 0.00,0.0
352.007,-0.00, 0.00, 5.84, 0.00,0.0
352.125,-0.00, 0.00, 5.84, 0.00,0.0
352.242,-0.00, 0.00, 5.84, 0.00,0.0
352.362,-0.00, 0.00, 5.84, 0.00,0.0
352.479,-0.00, 0.00, 5.84, 0.00,0.0
352.599,-0.00, 0.00, 5.84, 0.00,0.0
352.715,-0.00, 0.00, 5.84, 0.00,0.0
352.833,-0.00, 0.00, 5.84, 0.00,0.0
352.950,-0.00, 0.00, 5.84, 0.00,0.0
353.071,-0.00, 0.00, 5.84, 0.00,0.0
353.186,-0.00, 0.00, 5.84, 0.00,0.0
353.306,-0.00, 0.00, 5.84, 0.00,0.0
353.423,-0.00, 0.00, 5.84, 0.00,0.0
353.541,-0.00, 0.00, 5.84, 0.00,0.0
353.658,-0.00, 0.00, 5.84, 0.00,0.0
353.778,-0.00, 0.00, 5.84, 0.00,0.0
353.894,-0.00, 0.00, 5.84, 0.00,0.0
354.014,-0.00, 0.00, 5.84, 0.00,0.0
354.130, 0.00, 0.00, 5.84, 0.00,0.0
354.246,-0.00, 0.00, 5.84, 0.00,0.0
354.365, 0.00, 0.00, 5.84, 0.00,0.0
354.481, 0.00, 0.00, 5.84, 0.00,0.0
354.601, 0.00, 0.00, 5.84, 0.00,0.0
